driver_id,stop_id,sequence,customer_name,distance_km,travel_time_min,service_time_min,planned_eta,calculated_eta,delay_minutes,avg_speed_kmh,traffic_multiplier,is_delayed,latitude,longitude
driver_001,driver_001_stop_001,1,Customer_001,6.76,15.3,5.0,2025-08-08T16:42:43.842077,2025-08-08T16:28:01.632734,-14.7,45.0,1.7,False,25.222425,55.267866
driver_001,driver_001_stop_002,2,Customer_002,4.3,8.7,5.0,2025-08-08T17:02:43.842077,2025-08-08T16:41:45.264355,-21.0,45.0,1.52,False,25.23638,55.307688
driver_001,driver_001_stop_003,3,Customer_003,7.38,16.2,12.93956764661108,2025-08-08T17:22:43.842077,2025-08-08T17:10:54.867332,-11.8,45.0,1.65,False,25.171649,55.325138
driver_001,driver_001_stop_004,4,Customer_004,4.52,4.9,5.0,2025-08-08T17:42:43.842077,2025-08-08T17:12:54.009318,-29.8,45.0,0.82,False,25.175741,55.28055
driver_001,driver_001_stop_005,5,Customer_005,5.5,13.1,5.0,2025-08-08T18:02:43.842077,2025-08-08T17:31:00.916580,-31.7,45.0,1.79,False,25.190278,55.228386
driver_001,driver_001_stop_006,6,Customer_006,2.71,4.2,11.82336476971508,2025-08-08T18:22:43.842077,2025-08-08T17:47:04.168695,-35.7,45.0,1.17,False,25.210336,55.243844
driver_002,driver_002_stop_001,1,Customer_001,2.86,14.7,5.0,2025-08-08T16:42:43.842077,2025-08-08T16:27:27.984219,-15.3,40.0,3.44,False,25.278593,55.234522
driver_002,driver_002_stop_002,2,Customer_002,10.04,12.7,19.704694550240102,2025-08-08T17:02:43.842077,2025-08-08T16:59:53.455296,-2.8,40.0,0.84,False,25.223825,55.313986
driver_002,driver_002_stop_003,3,Customer_003,3.47,14.6,5.0,2025-08-08T17:22:43.842077,2025-08-08T17:04:47.941728,-17.9,40.0,2.81,False,25.194022,55.32462
driver_002,driver_002_stop_004,4,Customer_004,5.1,20.0,5.0,2025-08-08T17:42:43.842077,2025-08-08T17:29:47.014478,-12.9,40.0,2.61,False,25.166402,55.284146
driver_002,driver_002_stop_005,5,Customer_005,0.82,2.4,5.0,2025-08-08T18:02:43.842077,2025-08-08T17:37:12.730456,-25.5,40.0,1.97,False,25.172693,55.279828
driver_002,driver_002_stop_006,6,Customer_006,5.82,15.4,5.0,2025-08-08T18:22:43.842077,2025-08-08T17:57:36.826691,-25.1,40.0,1.76,False,25.135904,55.238637
driver_002,driver_002_stop_007,7,Customer_007,11.66,40.4,5.0,2025-08-08T18:42:43.842077,2025-08-08T18:43:01.456995,0.3,40.0,2.31,False,25.222315,55.172521
driver_002,driver_002_stop_008,8,Customer_008,9.54,35.3,5.0,2025-08-08T19:02:43.842077,2025-08-08T19:23:21.036528,20.6,40.0,2.47,True,25.293208,55.226246
driver_003,driver_003_stop_001,1,Customer_001,0.06,0.1,5.0,2025-08-08T16:42:43.842077,2025-08-08T16:12:52.453875,-29.9,50.0,2.02,False,25.274299,55.245437
driver_003,driver_003_stop_002,2,Customer_002,5.51,6.0,15.031549432120434,2025-08-08T17:02:43.842077,2025-08-08T16:33:56.103850,-28.8,50.0,0.91,False,25.268972,55.299819
driver_003,driver_003_stop_003,3,Customer_003,8.75,11.5,11.021771963270286,2025-08-08T17:22:43.842077,2025-08-08T16:46:22.988017,-36.3,50.0,1.09,False,25.214416,55.362668
driver_003,driver_003_stop_004,4,Customer_004,9.5,27.9,18.82722578370448,2025-08-08T17:42:43.842077,2025-08-08T17:27:06.124324,-15.6,50.0,2.45,False,25.156984,55.292729
driver_003,driver_003_stop_005,5,Customer_005,5.69,13.2,5.0,2025-08-08T18:02:43.842077,2025-08-08T17:31:26.717620,-31.3,50.0,1.93,False,25.18424,55.244884
driver_003,driver_003_stop_006,6,Customer_006,6.64,12.1,14.095911695933575,2025-08-08T18:22:43.842077,2025-08-08T17:57:36.624273,-25.1,50.0,1.51,False,25.182318,55.179032
driver_003,driver_003_stop_007,7,Customer_007,7.17,21.9,5.0,2025-08-08T18:42:43.842077,2025-08-08T18:15:25.819775,-27.3,50.0,2.55,False,25.246338,55.189595
