stop_id,driver_id,customer_name,delivery_address,planned_eta,calculated_eta,delay_minutes,is_delayed,distance_km,avg_speed_kmh,traffic_multiplier,traffic_condition,priority,order_value,delivery_window
STOP_001,DRV001,Hassan Al-Maktoum,"Gold Souk, Deira",17:17,17:38,20.8,True,5.5,12.7,1.8,High,Standard,48.36,17:17-18:17
STOP_002,DRV001,Rashid Al-Falasi,"Cluster A, JLT",17:29,17:44,14.4,True,6.09,20.3,1.8,High,Express,136.94,17:29-18:29
STOP_003,DRV001,Moza Al-Thani,"Gold Souk, Deira",18:03,18:29,25.6,True,5.6,10.5,1.8,High,Standard,55.07,18:03-19:03
STOP_004,DRV001,Reem Al-Maktoum,"Gate Village, DIFC",18:18,18:26,8.1,False,14.15,31.4,1.3,Medium,Standard,146.64,18:18-19:18
STOP_005,DRV001,Shamma Al-Hosani,"Burj Khalifa, Downtown Dubai",18:56,20:04,67.5,True,3.79,5.1,2.5,Very High,Express,67.98,18:56-19:56
STOP_006,DRV001,Aisha Al-Qasimi,"Gate Village, DIFC",19:16,19:30,13.5,True,13.84,18.4,1.3,Medium,Express,114.25,19:16-20:16
STOP_007,DRV001,Aisha Al-Qasimi,"Gold Souk, Deira",19:10,19:25,15.2,True,8.07,25.5,1.8,High,Express,58.42,19:10-20:10
STOP_008,DRV002,Layla Al-Mazrouei,"Burj Khalifa, Downtown Dubai",17:28,18:24,55.5,True,11.54,18.7,2.5,Very High,Premium,128.06,17:28-18:28
STOP_009,DRV002,Shamma Al-Hosani,"Gate Village, DIFC",17:48,17:59,11.1,True,13.72,22.3,1.3,Medium,Premium,184.69,17:48-18:48
STOP_010,DRV002,Layla Al-Mazrouei,"Shopping Complex, Karama",17:53,18:00,6.6,False,6.04,16.5,1.3,Medium,Premium,248.72,17:53-18:53
STOP_011,DRV002,Hamdan Al-Nahyan,"Gold Souk, Deira",18:34,19:09,34.4,True,5.9,8.2,1.8,High,Standard,74.56,18:34-19:34
STOP_012,DRV002,Layla Al-Mazrouei,"Bay Square, Business Bay",18:43,19:09,25.6,True,12.48,23.4,1.8,High,Express,98.87,18:43-19:43
STOP_013,DRV003,Rashid Al-Falasi,"Bay Square, Business Bay",17:17,17:38,20.8,True,8.36,19.3,1.8,High,Standard,99.71,17:17-18:17
STOP_014,DRV003,Hind Al-Suwaidi,"Mall of Emirates, Al Barsha",17:47,18:41,54.0,True,8.32,13.9,2.5,Very High,Premium,152.6,17:47-18:47
STOP_015,DRV003,Rashid Al-Falasi,"Cluster A, JLT",18:15,18:50,35.2,True,7.42,10.1,1.8,High,Standard,46.31,18:15-19:15
STOP_016,DRV003,Salem Al-Dhaheri,"Cluster A, JLT",18:21,18:45,24.0,True,8.95,17.9,1.8,High,Premium,151.86,18:21-19:21
STOP_017,DRV003,Khalid Al-Mansoori,"Mall of Emirates, Al Barsha",18:38,19:19,40.5,True,5.71,12.7,2.5,Very High,Premium,119.38,18:38-19:38
STOP_018,DRV003,Shamma Al-Hosani,"Beach Road, Jumeirah",18:52,18:58,6.3,False,11.24,32.1,1.3,Medium,Standard,126.93,18:52-19:52
STOP_019,DRV003,Hassan Al-Maktoum,"Beach Road, Jumeirah",19:31,19:43,12.0,True,11.55,17.3,1.3,Medium,Standard,115.02,19:31-20:31
STOP_020,DRV004,Noura Al-Shamsi,"Marina Walk, Dubai Marina",17:14,17:33,18.4,True,7.64,19.9,1.8,High,Standard,107.78,17:14-18:14
STOP_021,DRV004,Abdullah Al-Rashid,"Burj Khalifa, Downtown Dubai",17:40,18:24,43.5,True,3.06,6.3,2.5,Very High,Premium,177.72,17:40-18:40
STOP_022,DRV004,Abdullah Al-Rashid,"Beach Road, Jumeirah",18:02,18:11,9.3,False,12.85,24.9,1.3,Medium,Standard,64.11,18:02-19:02
STOP_023,DRV004,Abdullah Al-Rashid,"Mall of Emirates, Al Barsha",18:30,19:29,58.5,True,11.39,17.5,2.5,Very High,Express,220.63,18:30-19:30
STOP_024,DRV004,Aisha Al-Qasimi,"Al Fahidi, Bur Dubai",18:36,18:44,7.5,False,9.52,22.9,1.3,Medium,Standard,108.22,18:36-19:36
STOP_025,DRV004,Abdullah Al-Rashid,"Shopping Complex, Karama",19:15,19:28,13.2,True,10.76,14.7,1.3,Medium,Express,247.43,19:15-20:15
STOP_026,DRV004,Moza Al-Thani,"Shopping Complex, Karama",19:23,19:33,9.6,False,12.36,23.2,1.3,Medium,Premium,117.79,19:23-20:23
STOP_027,DRV004,Reem Al-Maktoum,"Gold Souk, Deira",19:46,20:14,28.0,True,6.89,11.8,1.8,High,Standard,174.88,19:46-20:46
STOP_028,DRV005,Aisha Al-Qasimi,"Shopping Complex, Karama",17:30,17:42,11.7,True,12.99,20.0,1.3,Medium,Express,215.38,17:30-18:30
STOP_029,DRV005,Moza Al-Thani,"Marina Walk, Dubai Marina",17:28,17:42,13.6,True,14.22,50.2,1.8,High,Standard,97.79,17:28-18:28
STOP_030,DRV005,Shamma Al-Hosani,"Cluster A, JLT",17:56,18:16,20.0,True,10.86,26.1,1.8,High,Premium,171.29,17:56-18:56
STOP_031,DRV005,Salem Al-Dhaheri,"Beach Road, Jumeirah",18:16,18:24,7.5,False,3.33,8.0,1.3,Medium,Standard,104.7,18:16-19:16
STOP_032,DRV005,Majid Al-Ketbi,"Cluster A, JLT",18:41,19:05,24.0,True,3.6,7.2,1.8,High,Express,73.01,18:41-19:41
STOP_033,DRV005,Mariam Al-Nuaimi,"Bay Square, Business Bay",19:12,19:45,32.8,True,2.95,4.3,1.8,High,Standard,194.17,19:12-20:12
