driver_id,stop_id,sequence,customer_name,distance_km,travel_time_min,service_time_min,planned_eta,calculated_eta,delay_minutes,avg_speed_kmh,traffic_multiplier,is_delayed,latitude,longitude
driver_001,driver_001_stop_001,1,Customer_001,0.29,0.4,5.0,2025-08-08T16:41:55.826420,2025-08-08T16:12:18.164842,-29.6,45.0,0.97,False,25.227986,55.272049
driver_001,driver_001_stop_002,2,Customer_002,7.6,9.1,5.0,2025-08-08T17:11:55.826463,2025-08-08T16:26:25.350180,-45.5,45.0,0.9,False,25.22569,55.347464
driver_001,driver_001_stop_003,3,Customer_003,5.63,10.0,5.0,2025-08-08T17:41:55.826474,2025-08-08T16:41:23.533078,-60.5,45.0,1.33,False,25.203006,55.297497
driver_001,driver_001_stop_004,4,Customer_004,10.44,20.7,5.0,2025-08-08T17:51:55.826482,2025-08-08T17:07:08.425577,-44.8,45.0,1.49,False,25.108901,55.292569
driver_001,driver_001_stop_005,5,Customer_005,13.45,15.0,5.0,2025-08-08T18:28:55.826490,2025-08-08T17:27:11.390328,-61.7,45.0,0.84,False,25.183948,55.187708
driver_001,driver_001_stop_006,6,Customer_006,3.09,6.1,5.0,2025-08-08T18:52:55.826497,2025-08-08T17:38:18.663604,-74.6,45.0,1.49,False,25.208289,55.202647
driver_002,driver_002_stop_001,1,Customer_001,1.48,2.7,5.0,2025-08-08T16:41:55.826525,2025-08-08T16:14:38.836477,-27.3,40.0,1.22,False,25.222545,55.279138
driver_002,driver_002_stop_002,2,Customer_002,4.77,10.3,5.0,2025-08-08T17:11:55.826534,2025-08-08T16:29:56.254346,-42.0,40.0,1.44,False,25.231294,55.325537
driver_002,driver_002_stop_003,3,Customer_003,5.37,11.2,5.0,2025-08-08T17:41:55.826542,2025-08-08T16:46:08.243896,-55.8,40.0,1.39,False,25.201221,55.283787
driver_002,driver_002_stop_004,4,Customer_004,4.26,9.3,5.0,2025-08-08T17:49:55.826549,2025-08-08T17:00:26.155512,-49.5,40.0,1.45,False,25.16708,55.264235
driver_002,driver_002_stop_005,5,Customer_005,3.51,7.1,5.0,2025-08-08T18:24:55.826555,2025-08-08T17:12:29.672625,-72.4,40.0,1.34,False,25.182591,55.233881
driver_002,driver_002_stop_006,6,Customer_006,7.1,10.6,5.0,2025-08-08T18:46:55.826565,2025-08-08T17:28:04.087648,-78.9,40.0,0.99,False,25.246623,55.237366
driver_003,driver_003_stop_001,1,Customer_001,2.74,3.4,5.0,2025-08-08T16:41:55.826581,2025-08-08T16:15:17.594909,-26.6,50.0,1.02,False,25.264917,55.274746
driver_003,driver_003_stop_002,2,Customer_002,3.85,4.2,5.0,2025-08-08T17:11:55.826589,2025-08-08T16:24:32.255700,-47.4,50.0,0.92,False,25.256241,55.311757
driver_003,driver_003_stop_003,3,Customer_003,11.23,13.0,5.0,2025-08-08T17:41:55.826596,2025-08-08T16:42:30.264166,-59.4,50.0,0.96,False,25.162107,55.353169
driver_003,driver_003_stop_004,4,Customer_004,3.28,4.9,5.0,2025-08-08T17:59:55.826602,2025-08-08T16:52:23.988539,-67.5,50.0,1.24,False,25.164854,55.320798
driver_003,driver_003_stop_005,5,Customer_005,6.51,9.4,5.0,2025-08-08T18:19:55.826608,2025-08-08T17:06:47.002109,-73.1,50.0,1.2,False,25.131935,55.267303
driver_003,driver_003_stop_006,6,Customer_006,8.53,14.3,5.0,2025-08-08T18:56:55.826617,2025-08-08T17:26:04.220533,-90.9,50.0,1.4,False,25.206162,55.244829
driver_003,driver_003_stop_007,7,Customer_007,0.66,1.1,5.0,2025-08-08T19:24:55.826623,2025-08-08T17:32:10.845694,-112.7,50.0,1.4,False,25.212128,55.244676
